,X1,PMCID,statistic,reported,df1,df2,p,value,n,context,sectionName,decision,doi,journalID,journalIDAbrev,title,issue,volume,call,realYear
1,1,PMC1134661,F,"F(12,48) = 40.806, P < 0.0001",12,48,p < 0.0001,40.806,NA,"ulation periods, when DA level was elevated (Fig 6). This perfusion rapidly decreased extracellular NA and DA levels below basal concentrations, and the subsequent stimulations of LC totally failed to increase extracellular catecholamine levels (ANOVA results: NA: F(12,48) = 104.32, P < 0.0001; DA: F(12,48) = 40.806, P < 0.0001). To rule out the possibility that electrical stimulation might have produced the concomitant stimulation of the midbrain DA neurons by current spread or trans-synaptically, the effect of repeated burst stimulation of the LC on extracellular DA and NA in the caudate nucleus and the mPFC was compare",Results,1,10.1186/1471-2202-6-31,BMC Neuroscience,BMC Neurosci,Co-release of noradrenaline and dopamine in the cerebral cortex elicited by single train and repeated train stimulation of the locus coeruleus,NA,6,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1134661&metadataPrefix=pmc,2005
2,2,PMC1200562,chi,"œá2(210) = 1488.02, p < 0.001",NA,210,p < 0.001,1488.02,NA,"s present and supported the use of the IDUQOL total score. According to Gorsuch's guideline of 5 to 10 cases per item [30], the sample size for the present study (n = 241) was considered adequate for factor analysis of the 21-item IDUQOL. The data met the criteria for Bartlett's Test of Sphericity, œá2(210) = 1488.02, p < 0.001 and the Kaiser-Meyer-Olkin criteria for sampling adequacy, KMO = .88 [31]. The first factor had an eigenvalue of 6.40 and explained 30.5% of the variance in participants' responses. The ratio of the first to the second eigenvalue was 4.3 which exceeds the strict criterion of a ratio greater than 4.",Results,4,10.1186/1477-7525-3-43,Health and Quality of Life Outcomes,Health Qual Life Outcomes,Injection Drug Use Quality of Life scale (IDUQOL): A validation study,NA,3,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1200562&metadataPrefix=pmc,2005
3,3,PMC1236933,F,"F(2,44) = 3.3, p < .05",2,44,p < .05,3.3,NA,"me course of activity for the left temporal region (Figure 3) discloses differences between sub-ordinate categories between 300 and 550 ms after stimulus onset. Interactions SUPER vó SUBCATEGORY indicate significant differences between sub- and super-ordinate categories for the intervals 300-350 ms (F(2,44) = 3.3, p < .05), 350-400 ms (F(2,44) = 3.1; p = .05), and 400-450 ms (F(2,44) = 3.8, p < .05). For the last interval post-hoc tests verified significant differences between the sub-categories fruit vs flowers (p < .05), fruit vs. trees (p < .01) and fruit vs. fish (p < .01) and marginally significant trends (p <",Results and discussion,2,10.1186/1471-2202-6-57,BMC Neuroscience,BMC Neurosci,Neuromagnetic brain responses to words from semantic sub- and supercategories,NA,6,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1236933&metadataPrefix=pmc,2005
4,4,PMC151272,F,"F7,660 = 2.37, P = 0.02",7,660,p = 0.02,2.37,NA,"* = p < 0.05 Family IncomeWith the JF scale scores there were no significant differences between groups. With the Rosenberg scale, patients whose annual family income was between  40,000 to  50,000 showed significantly higher self-esteem than those with an annual family income of less than  5,000 (F7,660 = 2.37, P = 0.02). The correlation coefficients between family income and either scales were low, but statistically significant (r1 for the JF scale was 0.11, p < 0.01; r2 for the Rosenberg scale was -0.15, p < 0.001). Again, these findings suggest a possible weak relationship between self-esteem of psychiatric pat",Results,1,10.1186/1475-2832-2-3,Annals of General Hospital Psychiatry,Ann Gen Hosp Psychiatry,Low self-esteem and psychiatric patients: Part II – The relationship between self-esteem and demographic factors and psychosocial stressors in psychiatric patients,NA,2,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:151272&metadataPrefix=pmc,2003
5,5,PMC1524794,F,"F(6,72) = 2.52, P < 0.05",6,72,p < 0.05,2.52,NA,"60-min interva1. These effects of SKF-81297 on total rearing were mainly due to changes in rearing to wall (data not shown). Total groomingANOVA of total grooming revealed significant main effects of DOSE [F(3,36) = 3.19, P < 0.05] and TIME [F(2,72) = 4.00, P < 0.05], and a significant TIME vó DOSE [F(6,72) = 2.52, P < 0.05] interaction. The effects of SKF-81297 on total grooming were only observed during the 5-to-20-min interval (see Fig. 1). Thus, the 0.3 mg/kg dose produced a significant increase in total grooming in WKY rats but had no significant effect in SHR. The 3 and 10 mg/kg doses had a tendency to decrease",Results,2,10.1186/1744-9081-2-18,Behavioral and Brain Functions,Behav Brain Funct,Differential effects of a selective dopamine D1-like receptor agonist on motor activity and c-fos expression in the frontal-striatal circuitry of SHR and Wistar-Kyoto rats,NA,2,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1524794&metadataPrefix=pmc,2006
6,6,PMC1764416,F,"F(3.4, 100.6) = 21.1, p < 0.001",3,100,p < 0.001,21.1,NA,"erformance of the SHR (Figure 5). The effect was more pronounced towards the end of the session (Figure 6). The ANOVA showed main effects of strain, F(1, 30) = 12.4, p < 0.002; dose, Greenhouse-Geisser Œµ = 0.47, F(1.9, 57.0) = 6.3, p < 0.004; and within-session segment, Greenhouse-Geisser Œµ = 0.84, F(3.4, 100.6) = 21.1, p < 0.001. These effects show that the SHRs were consistently poorer than the WKY controls and that both strains' behavior improved towards the end of the 90-min sessions. There was also a Strain x Dose interaction effect, which shows that there was a dose-related improvement in the SHR following the drug, b",Results,3,10.1186/1744-9081-2-41,Behavioral and Brain Functions,Behav Brain Funct,The alpha-2A adrenoceptor agonist guanfacine improves sustained attention and reduces overactivity and impulsiveness in an animal model of Attention-Deficit/Hyperactivity Disorder (ADHD),NA,2,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1764416&metadataPrefix=pmc,2006
7,7,PMC1781950,t,"t(13) = 2.79, p = 0.02",NA,13,p = 0.02,2.79,NA,"here was also a main effect of trial type (F(2,26) = 4.355, p = 0.02). Pairwise t-tests showed that there were no significant differences between the AREA DOTS and SIZE DOTS trials (t(13) = 0.55, p = 0.59), but participants were significantly slower on PERI DOTS trials compared to SIZE DOTS trials (t(13) = 2.79, p = 0.02) and AREA DOTS trials (t(13) = 2.26, p = 0.04). A between-group comparison revealed no significant differences between the RTs in the DOTS conditions of Experiments 1 and 2 (t(24) = 0.76, p = 0.46). Only correct trials are included in the following analysis (on average 90.9% of all trials). Figure",Results,2,10.1186/1744-9081-3-1,Behavioral and Brain Functions,Behav Brain Funct,Electrophysiological evidence for notation independence in numerical processing,NA,3,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1781950&metadataPrefix=pmc,2007
8,8,PMC1805446,F,"F (1, 32) = .05, p > .80",1,32,p > .80,0.05,NA,"aving for individuals receiving the craving induction compared to the control induction, as depicted in Figure 1. For positive affect, the covariate model was significant (R2 = .88, F (1, 33) = 261.79, p < .001), but the addition of induction type did not significantly improve the model (ŒîR2 = .00, F (1, 32) = .05, p > .80). For negative affect, the covariate model including both drinks/week and negative affect was significant (R2 = .77, F (2, 32) = 54.80, p < .001), but the addition of induction type did not significantly improve the model (ŒîR2 = .00, F (1, 31) = .23, p > .60). Coefficient estimates for the model re",Results,2,10.1186/1744-9081-3-11,Behavioral and Brain Functions,Behav Brain Funct,Effects of craving and DRD4 VNTR genotype on the relative value of alcohol: an initial human laboratory study,NA,3,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1805446&metadataPrefix=pmc,2007
9,9,PMC1847440,F,"F3,30= 8.7; P < 0.001",3,30,p < 0.001,8.7,NA,"es were reversible. Test group # 6 ('fixed' group) provided control for the above comparisons. Results of Experiment 2Four-wall shift and two-wall shiftTraveled distance significantly increased when the object array remained in the center while the four arena walls shifted away (within-group ANOVA; F3,30= 8.7; P < 0.001; Figure 6a, left), but not when the object array remained in the same location and distance to the start (1eft bottom) corner with only two walls shifted away (within-group ANOVA; F3,27 = 6.3; P = 0.002; Figure 6a, center). There was no significant change in the group injected in a fixed arena stru",Background,1,10.1186/1471-2202-8-23,BMC Neuroscience,BMC Neurosci,Modulation of quinpirole-induced compulsive-like behavior in rats by environmental changes: Implications for OCD rituals and for exploration and navigation,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1847440&metadataPrefix=pmc,2007
10,10,PMC1884166,t,"t(11) = -3.02, p = 0.01",NA,11,p = 0.01,-3.02,NA,"er level, even as ambient light returned in the post-experimental period. Fig. 1 depicts this darkness-induced behavior increase for quadrant crosses. These animals crossed more quadrants than those in the lights-on group during both the experimental [t(11) = -3.53, p < 0.01] and post-experimental [t(11) = -3.02, p = 0.01] periods. While it was expected that returning ambient light (post-experimenta1) following darkness exposure would result in more immediate behavioral cessation, their decreased locomotion was not significant [t(11) = 2.047, p = 0.065]. Quadrant crosses were unaffected by reverse dialysis of either",Results,2,10.1186/1471-2202-8-32,BMC Neuroscience,BMC Neurosci,Extracellular ascorbate modulates glutamate dynamics: role of behavioral activation,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1884166&metadataPrefix=pmc,2007
